ano,reserva_1p,reserva_total,exportacao,consumo,cenario
2023,15894000000,18222300000,581875783,1186250000,2
2024,14125874217,16454174217,533581357.08178747,1211800000,2
2025,12380492859.918213,14708792859.918213,559019758.3824911,1215450000,2
2026,10606023101.53572,12934323101.53572,584458159.6831948,1222750000,2
2027,8798814941.852526,11127114941.852526,609896560.9838984,1222750000,2
2028,6966168380.868628,9294468380.868628,635334962.2846022,1226400000,2
2029,5104433418.584026,7432733418.584026,660773363.5853058,1233700000,2
2030,3209960054.99872,5538260054.99872,686211764.8860095,1237350000,2
2031,1286398290.112711,3614698290.112711,711650166.1867131,1246344642.857144,2
2032,-671596518.9311466,1656703481.0688534,737088567.4874167,1252297619.0476203,2
2033,-2660982705.4661827,-332682705.4661827,762526968.7881205,1258250595.2380967,2
2034,-4681760269.492401,-2353460269.492401,787965370.0888242,1264203571.428573,2
2035,-6733929211.009796,-4405629211.009796,813403771.3895278,1270156547.619049,2
2036,-8817489530.018372,-6489189530.018372,838842172.6902314,1276109523.8095253,2
2037,-10932441226.518127,-8604141226.518127,864280573.9909352,1282062500.0000014,2
2038,-13078784300.509064,-10750484300.509064,889718975.2916389,1288015476.1904776,2
2039,-15256518751.99118,-12928218751.99118,915157376.5923424,1293968452.3809538,2
2040,-17465644580.964478,-15137344580.964478,940595777.893046,1299921428.57143,2
2041,-19706161787.428955,-17377861787.428955,966034179.1937498,1305874404.761906,2
2042,-21978070371.384613,-19649770371.384613,991472580.4944535,1311827380.9523823,2
2043,-24281370332.83145,-21953070332.83145,1016910981.7951572,1317780357.1428587,2
2044,-26616061671.76947,-24287761671.76947,1042349383.0958608,1323733333.333335,2
2045,-28982144388.19867,-26653844388.19867,1067787784.3965644,1329686309.523811,2
2046,-31379618482.11905,-29051318482.11905,1093226185.6972682,1335639285.7142873,2
2047,-33808483953.5306,-31480183953.5306,1118664586.9979718,1341592261.9047637,2
2048,-36268740802.433334,-33940440802.433334,1144102988.2986755,1347545238.0952396,2
2049,-38760389028.82725,-36432089028.82725,1169541389.5993793,1353498214.2857158,2
2050,-41283428632.71234,-38955128632.71234,1194979790.9000828,1359451190.476192,2
